,Date,Stock Price,Stock Price Present
882,2019-08-07,70.5,1
883,2019-08-08,72.38,1
884,2019-08-09,70.84,1
885,2019-08-10,70.84,0
886,2019-08-11,70.84,0
887,2019-08-12,69.63,1
888,2019-08-13,70.49,1
889,2019-08-14,67.65,1
890,2019-08-15,67.25,1
891,2019-08-16,68.3,1
892,2019-08-17,68.3,0
893,2019-08-18,68.3,0
894,2019-08-19,69.45,1
895,2019-08-20,69.03,1
896,2019-08-21,69.72,1
897,2019-08-22,69.57,1
898,2019-08-23,67.49,1
899,2019-08-24,67.49,0
900,2019-08-25,67.49,0
901,2019-08-26,67.85,1
902,2019-08-27,67.19,1
903,2019-08-28,67.68,1
904,2019-08-29,68.43,1
905,2019-08-30,68.48,1
906,2019-08-31,68.48,0
907,2019-09-01,68.48,0
908,2019-09-02,68.48,0
909,2019-09-03,68.56,1
910,2019-09-04,69.29,1
911,2019-09-05,70.27,1
912,2019-09-06,70.93,1
913,2019-09-07,70.93,0
914,2019-09-08,70.93,0
915,2019-09-09,71.49,1
916,2019-09-10,72.07,1
917,2019-09-11,71.93,1
918,2019-09-12,71.98,1
919,2019-09-13,72.64,1
920,2019-09-14,72.64,0
921,2019-09-15,72.64,0
922,2019-09-16,73.73,1
923,2019-09-17,73.17,1
924,2019-09-18,72.82,1
925,2019-09-19,72.33,1
926,2019-09-20,72.08,1
927,2019-09-21,72.08,0
928,2019-09-22,72.08,0
929,2019-09-23,72.13,1
930,2019-09-24,71.14,1
931,2019-09-25,71.35,1
932,2019-09-26,70.97,1
933,2019-09-27,71.48,1
934,2019-09-28,71.48,0
935,2019-09-29,71.48,0
936,2019-09-30,70.61,1
937,2019-10-01,68.95,1
938,2019-10-02,67.15,1
939,2019-10-03,67.98,1
940,2019-10-04,68.97,1
941,2019-10-05,68.97,0
942,2019-10-06,68.97,0
943,2019-10-07,68.02,1
944,2019-10-08,66.7,1
945,2019-10-09,67.44,1
946,2019-10-10,68.25,1
947,2019-10-11,68.98,1
948,2019-10-12,68.98,0
949,2019-10-13,68.98,0
950,2019-10-14,69.18,1
951,2019-10-15,69.42,1
952,2019-10-16,68.23,1
953,2019-10-17,68.14,1
954,2019-10-18,67.61,1
955,2019-10-19,67.61,0
956,2019-10-20,67.61,0
957,2019-10-21,68.74,1
958,2019-10-22,69.09,1
959,2019-10-23,69.75,1
960,2019-10-24,69.09,1
961,2019-10-25,69.25,1
962,2019-10-26,69.25,0
963,2019-10-27,69.25,0
964,2019-10-28,68.64,1
965,2019-10-29,68.44,1
966,2019-10-30,67.72,1
967,2019-10-31,67.57,1
968,2019-11-01,69.6,1
969,2019-11-02,69.6,0
970,2019-11-03,69.6,0
971,2019-11-04,71.67,1
972,2019-11-05,73.09,1
973,2019-11-06,71.49,1
974,2019-11-07,73.01,1
975,2019-11-08,70.77,1
976,2019-11-09,70.77,0
977,2019-11-10,70.77,0
978,2019-11-11,70.34,1
979,2019-11-12,69.37,1
980,2019-11-13,68.8,1
981,2019-11-14,68.5,1
982,2019-11-15,69.19,1
983,2019-11-16,69.19,0
984,2019-11-17,69.19,0
985,2019-11-18,68.52,1
986,2019-11-19,67.82,1
987,2019-11-20,68.03,1
988,2019-11-21,69.67,1
989,2019-11-22,69.37,1
990,2019-11-23,69.37,0
991,2019-11-24,69.37,0
992,2019-11-25,68.91,1
993,2019-11-26,68.74,1
994,2019-11-27,68.7,1
995,2019-11-28,68.7,0
996,2019-11-29,68.13,1
997,2019-11-30,68.13,0
998,2019-12-01,68.13,0
999,2019-12-02,68.42,1
1000,2019-12-03,67.88,1
1001,2019-12-04,68.65,1
1002,2019-12-05,68.41,1
1003,2019-12-06,69.51,1
1004,2019-12-07,69.51,0
1005,2019-12-08,69.51,0
1006,2019-12-09,69.66,1
1007,2019-12-10,69.06,1
1008,2019-12-11,68.96,1
1009,2019-12-12,70.34,1
1010,2019-12-13,69.23,1
1011,2019-12-14,69.23,0
1012,2019-12-15,69.23,0
1013,2019-12-16,70.0,1
1014,2019-12-17,69.68,1
1015,2019-12-18,69.87,1
1016,2019-12-19,69.39,1
1017,2019-12-20,69.94,1
1018,2019-12-21,69.94,0
1019,2019-12-22,69.94,0
1020,2019-12-23,70.29,1
1021,2019-12-24,70.02,1
1022,2019-12-25,70.02,0
1023,2019-12-26,70.13,1
1024,2019-12-27,69.89,1
1025,2019-12-28,69.89,0
1026,2019-12-29,69.89,0
1027,2019-12-30,69.48,1
1028,2019-12-31,69.78,1
1029,2020-01-01,69.78,0
1030,2020-01-02,70.9,1
1031,2020-01-03,70.33,1
1032,2020-01-04,70.33,0
1033,2020-01-05,70.33,0
1034,2020-01-06,70.87,1
1035,2020-01-07,70.29,1
1036,2020-01-08,69.23,1
1037,2020-01-09,69.76,1
1038,2020-01-10,69.14,1
1039,2020-01-11,69.14,0
1040,2020-01-12,69.14,0
1041,2020-01-13,69.8,1
1042,2020-01-14,69.2,1
1043,2020-01-15,69.09,1
1044,2020-01-16,68.82,1
1045,2020-01-17,68.56,1
1046,2020-01-18,68.56,0
1047,2020-01-19,68.56,0
1048,2020-01-20,68.56,0
1049,2020-01-21,67.58,1
1050,2020-01-22,67.19,1
1051,2020-01-23,66.77,1
1052,2020-01-24,66.32,1
1053,2020-01-25,66.32,0
1054,2020-01-26,66.32,0
1055,2020-01-27,64.74,1
1056,2020-01-28,64.65,1
1057,2020-01-29,64.11,1
1058,2020-01-30,64.79,1
1059,2020-01-31,62.12,1
1060,2020-02-01,62.12,0
1061,2020-02-02,62.12,0
1062,2020-02-03,60.73,1
1063,2020-02-04,59.97,1
1064,2020-02-05,62.73,1
1065,2020-02-06,61.88,1
1066,2020-02-07,61.47,1
1067,2020-02-08,61.47,0
1068,2020-02-09,61.47,0
1069,2020-02-10,59.96,1
1070,2020-02-11,60.53,1
1071,2020-02-12,61.27,1
1072,2020-02-13,60.93,1
1073,2020-02-14,60.65,1
1074,2020-02-15,60.65,0
1075,2020-02-16,60.65,0
1076,2020-02-17,60.65,0
1077,2020-02-18,59.88,1
1078,2020-02-19,60.34,1
1079,2020-02-20,59.86,1
1080,2020-02-21,59.13,1
1081,2020-02-22,59.13,0
1082,2020-02-23,59.13,0
1083,2020-02-24,56.36,1
1084,2020-02-25,54.2,1
1085,2020-02-26,53.01,1
1086,2020-02-27,49.82,1
1087,2020-02-28,51.44,1
1088,2020-02-29,51.44,1
1089,2020-03-01,51.44,1
1090,2020-03-02,51.44,1
1091,2020-03-03,53.88,1
1092,2020-03-04,51.3,1
1093,2020-03-05,52.42,1
1094,2020-03-06,50.11,1
1095,2020-03-07,47.69,1
1096,2020-03-08,47.69,1
1097,2020-03-09,40.88,1
1098,2020-03-10,40.88,0
1099,2020-03-11,43.41,1
1100,2020-03-12,43.41,0
1101,2020-03-13,43.41,0
1102,2020-03-14,43.41,0
1103,2020-03-15,43.41,0
1104,2020-03-16,38.12,1
1105,2020-03-17,34.49,1
1106,2020-03-18,34.49,0
1107,2020-03-19,33.37,1
1108,2020-03-20,32.83,1
1109,2020-03-21,32.74,1
1110,2020-03-22,32.74,1
1111,2020-03-23,31.47,1
1112,2020-03-24,31.47,0
1113,2020-03-25,31.47,0
